id,level_1,level_2,level_3,level_4,toolName,toolProperty1,propertyValue1,toolProperty2,propertyValue2,toolProperty3,propertyValue3,toolProperty4,propertyValue4
1,Billing1,Invoicebill,Dep1,project1,GIT,GIT description1,NextGenBilling1,GIT description2,value2,,,,
2,Billing2,Ledgerbill,Dep1,,GIT,GITdescription1,NextGenBilling2,GIT description2,value2,GIT description3,value3,GIT description4,value4
3,Billing3,Invoicebill,Dep1,,JIRA,projectdes,NextGenBilling3,JIRA description2,value2,JIRA description3,value3,JIRA description4,value4
4,Billing4,Ledgerbill,,,JIRA,projectdesJIRA,NextGenBilling4,JIRA description2,value2,JIRA description3,value3,JIRA description4,value4
5,Billing5,Invoicebill,,Project1,JENKINS,jenkinsdesJIRA,NextGenBilling5,JIRA description2,value2,JIRA description3,value3,JIRA description4,value4
6,biling6,invoicebill6,dep6,project2,NEXUS,NEXUS desription,Nextbilling,JIRA description2,value2,JIRA description3,,JIRA description4,value4
7,biling6,invoicebill6,dep6,project2,NEXUS,NEXUS desription,Nextbilling,JIRA description2,value2,JIRA description3,value3,JIRA description4,value4
8,biling6,invoicebill6,dep6,project2,NEXUS,NEXUS desription,Nextbilling,JIRA description2,value2,JIRA description3,,JIRA description4,value4
9,biling6,invoicebill6,dep6,project2,NEXUS,NEXUS desription,Nextbilling,JIRA description2,value2,JIRA description3,value3,JIRA description4,value4
10,biling6,invoicebill6,dep6,project2,NEXUS,NEXUS desription,Nextbilling,JIRA description2,value2,JIRA description3,value3,JIRA description4,value4
7,biling6,invoicebill6,dep6,project2,NEXUS,NEXUS desription,Nextbilling,JIRA description2,value2,JIRA description3,value3,JIRA description4,value4
